obra,productora,anio_inicio,anio_fin,teatro,gira,activa,duracion,genero,origen
"Romeo y Julieta, el musical",Theatre Properties,2021,2024,La Latina,Sí,No,140,Drama,Franquicia
School of Rock,Let's Go Company,2024,2024,Espacio Delicias,No,No,170,Comedia,Franquicia
Sister Act,Stage Entertainment,2014,2016,Tívoli,Sí,No,150,Comedia,Franquicia
Sister Act,Stage Entertainment,2015,2015,Teatro Nuevo Alcalá,Sí,No,150,Comedia,Franquicia
Sonrisas y lágrimas,ATG Entertainment,2011,2013,Coliseum,Sí,No,150,Familiar,Franquicia
The Book of Mormon,ATG Entertainment,2023,,Teatro Calderón / Rialto,No,Sí,135,Comedia,Franquicia
The Hole,Let's Go Company,2011,2023,Teatro Calderón / Giras,Sí,No,120,Jukebox,Creación Propia
The full monty,Theatre Properties,2021,2023,Rialto,Sí,No,150,Comedia,Franquicia
Tina,Stage Entertainment,2021,2023,Teatro Coliseum,No,No,160,Drama,Franquicia
Tocando nuestra canción,Teatro del Soho S.L.,2024,2024,Del Soho,No,No,165,Comedia,Franquicia
Una rubia muy legal,Pentación Espectáculos,2023,2024,La latina,No,No,150,Comedia,Franquicia
We Will Rock You,Teatropolis (Gran Teatro CaixaBank Príncipe Pío),2023,,Gran Teatro CaixaBank Príncipe Pío,No,Sí,150,Jukebox,Franquicia
